CompanyName;Participation;Certification.Date;Certification.Due.Date;Type
Pressed;EU-U.S. Privacy Shield Framework;2016-12-30;2017-12-30;NON-HR
PRGX USA, Inc.;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;HR, NON-HR
PrimeRevenue, Inc.;EU-U.S. Privacy Shield Framework;2016-10-21;2017-10-21;NON-HR
PRO Unlimited, inc.;Swiss-U.S. Privacy Shield Framework;2017-05-19;2018-05-19;HR, NON-HR
PRO Unlimited, inc.;EU-U.S. Privacy Shield Framework;2016-10-31;2018-05-19;HR, NON-HR
Proactive Technology Systems, LLC;EU-U.S. Privacy Shield Framework;2016-11-19;2017-11-19;NON-HR
Procore;EU-U.S. Privacy Shield Framework;2016-09-16;2017-09-16;NON-HR
ProctorU Inc.;EU-U.S. Privacy Shield Framework;2016-09-13;2017-09-13;NON-HR
ProductBoard, Inc.;EU-U.S. Privacy Shield Framework;2017-03-22;2018-03-22;NON-HR
ProductPlan;EU-U.S. Privacy Shield Framework;2017-01-11;2018-01-11;NON-HR
Produx Labs Inc;EU-U.S. Privacy Shield Framework;2016-08-24;2017-08-24;NON-HR
Professional Advertising Systems Inc;EU-U.S. Privacy Shield Framework;2017-02-21;2018-02-21;NON-HR
Professional Flight Management, Inc;EU-U.S. Privacy Shield Framework;2016-12-08;2017-12-08;NON-HR
Profiles international, LLC, a subsidiary of John Wiley & Sons, Inc (Wiley);EU-U.S. Privacy Shield Framework;2017-04-11;2018-04-11;NON-HR
Proforma Screening Solutions, LLC.;EU-U.S. Privacy Shield Framework;2016-12-05;2017-12-05;NON-HR
ProHockeyIQ, Inc.;EU-U.S. Privacy Shield Framework;2017-01-19;2018-01-19;NON-HR
Project Eve LLC;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-08-30;NON-HR
Project Eve LLC;EU-U.S. Privacy Shield Framework;2016-08-30;2017-08-30;NON-HR
Projector PSA, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-25;2017-09-01;NON-HR
Projector PSA, Inc.;EU-U.S. Privacy Shield Framework;2016-09-01;2017-09-01;NON-HR
Prolifiq Software;EU-U.S. Privacy Shield Framework;2017-03-24;2018-03-24;NON-HR
Promega Corporation;EU-U.S. Privacy Shield Framework;2017-03-24;2018-03-24;HR, NON-HR
Prometric Inc.;EU-U.S. Privacy Shield Framework;2016-10-25;2017-10-25;HR, NON-HR
Prominic.NET, Inc.;EU-U.S. Privacy Shield Framework;2017-03-22;2018-03-22;NON-HR
Promontory Financial Group, LLC;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;NON-HR
Promoter.io, Inc.;EU-U.S. Privacy Shield Framework;2017-04-03;2018-04-03;NON-HR
Proofpoint, Inc.;EU-U.S. Privacy Shield Framework;2016-10-05;2017-10-05;NON-HR
Propeller Health;EU-U.S. Privacy Shield Framework;2016-11-28;2017-11-28;NON-HR
ProSearch Strategies, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-12;2018-05-12;NON-HR
ProSearch Strategies, Inc.;EU-U.S. Privacy Shield Framework;2016-11-16;2018-05-12;NON-HR
ProsperWorks;EU-U.S. Privacy Shield Framework;2017-04-21;2018-04-21;NON-HR
ProtectWise, Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
Protiviti Inc.;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Provade, Inc.;EU-U.S. Privacy Shield Framework;2016-10-20;2017-10-20;NON-HR
Proxibid Inc;EU-U.S. Privacy Shield Framework;2017-03-29;2018-03-29;NON-HR
PTI Marketing Technologies,Inc;EU-U.S. Privacy Shield Framework;2017-01-11;2018-01-11;NON-HR
PubMatic, Inc.;EU-U.S. Privacy Shield Framework;2016-10-21;2017-10-21;NON-HR
PubNub, Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
PullString, Inc.;EU-U.S. Privacy Shield Framework;2017-04-21;2018-04-21;NON-HR
Pulse Secure, LLC;EU-U.S. Privacy Shield Framework;2016-11-07;2017-11-07;NON-HR
PureWorks, Inc.;EU-U.S. Privacy Shield Framework;2016-12-22;2017-12-22;NON-HR
Q-DAS Incorporated;EU-U.S. Privacy Shield Framework;2016-09-01;2017-09-01;NON-HR
QAD Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;HR, NON-HR
QAD Inc.;EU-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;HR, NON-HR
Qardio, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-18;2018-04-18;NON-HR
QDiligence, LLC;EU-U.S. Privacy Shield Framework;2016-08-22;2017-08-22;NON-HR
QDiligence, LLC;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-08-22;NON-HR
QLess, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-28;2017-09-02;NON-HR
QLess, Inc.;EU-U.S. Privacy Shield Framework;2016-09-02;2017-09-02;NON-HR
Qstream;EU-U.S. Privacy Shield Framework;2016-08-19;2017-08-19;NON-HR
QTS;EU-U.S. Privacy Shield Framework;2017-03-20;2018-03-20;HR, NON-HR
Qualaroo LLC;EU-U.S. Privacy Shield Framework;2016-12-06;2017-12-06;NON-HR
Qualtrics, LLC;EU-U.S. Privacy Shield Framework;2016-12-13;2017-12-13;NON-HR
Qualys;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;NON-HR
QuantFinSoft, Inc.;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;NON-HR
Quantum Corporation;EU-U.S. Privacy Shield Framework;2016-10-20;2017-10-20;HR, NON-HR
Quantum Metric;EU-U.S. Privacy Shield Framework;2017-05-04;2018-05-04;NON-HR
Quantum Workplace;EU-U.S. Privacy Shield Framework;2017-05-16;2018-05-16;NON-HR
Qubit Inc;EU-U.S. Privacy Shield Framework;2016-08-31;2017-08-31;NON-HR
Questionmark Corporation;EU-U.S. Privacy Shield Framework;2016-11-01;2017-11-01;NON-HR
Queue in the Cloud LLC;EU-U.S. Privacy Shield Framework;2017-02-16;2018-02-16;HR, NON-HR
QuickMAR;EU-U.S. Privacy Shield Framework;2017-05-22;2018-05-22;NON-HR
Quintiles Inc.;EU-U.S. Privacy Shield Framework;2016-10-18;2017-10-18;HR, NON-HR
Quizlet;EU-U.S. Privacy Shield Framework;2016-12-13;2017-12-13;NON-HR
Quote Roller Inc. DBA PandaDoc;EU-U.S. Privacy Shield Framework;2016-11-07;2017-11-07;NON-HR
Qvidian Corporation;EU-U.S. Privacy Shield Framework;2016-12-16;2017-12-16;NON-HR
qwikLABS Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
R.J. Berrier (d.b.a. Spring International);EU-U.S. Privacy Shield Framework;2016-09-19;2017-09-19;NON-HR
Rackspace US, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-25;2017-10-24;HR, NON-HR
Rackspace US, Inc.;EU-U.S. Privacy Shield Framework;2016-10-24;2017-10-24;HR, NON-HR
RADAR, Inc.;EU-U.S. Privacy Shield Framework;None;2018-04-13;NON-HR
Radial Commerce, Inc.;EU-U.S. Privacy Shield Framework;2017-01-12;2018-01-12;HR, NON-HR
RadiumOne, Inc.;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
RadiusPoint;EU-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;NON-HR
RagingWire Data Centers Inc;EU-U.S. Privacy Shield Framework;2017-01-11;2018-01-11;HR, NON-HR
RainKing Software;EU-U.S. Privacy Shield Framework;2017-03-09;2018-03-09;NON-HR
Ralph Lauren Corporation;EU-U.S. Privacy Shield Framework;2016-12-02;2017-12-02;HR, NON-HR
Rapid7, Inc.;EU-U.S. Privacy Shield Framework;2016-12-20;2017-12-20;HR, NON-HR
RAPP Worldwide;EU-U.S. Privacy Shield Framework;2017-01-17;2018-01-17;HR, NON-HR
Raptor Sports Holdings, Inc.;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;NON-HR
Raytheon Company;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;HR, NON-HR
ReachForce, Inc.;EU-U.S. Privacy Shield Framework;2016-10-20;2017-10-20;NON-HR
ReachMail Inc.;EU-U.S. Privacy Shield Framework;2017-04-05;2018-04-05;NON-HR
Readex Research;EU-U.S. Privacy Shield Framework;2017-04-05;2018-04-05;NON-HR
RealPage, Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Reckitt Benkiser LLC;EU-U.S. Privacy Shield Framework;2017-03-21;2018-03-21;HR, NON-HR
RecogNation LLC;Swiss-U.S. Privacy Shield Framework;2017-04-18;2018-03-02;NON-HR
RecogNation LLC;EU-U.S. Privacy Shield Framework;2017-03-02;2018-03-02;NON-HR
RecoverMe Medical Solutions, Inc.;EU-U.S. Privacy Shield Framework;2017-04-10;2018-04-10;NON-HR
Recovery Point Systems;EU-U.S. Privacy Shield Framework;2016-10-11;2017-10-11;NON-HR
RecoveryPlanner;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
Recruit Tracker Inc. dba HIRABL;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;NON-HR
RECSOLU, Inc., DBA Yello;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;HR
RECSOLU, Inc., DBA Yello;Swiss-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;HR
Recurly, Inc.;EU-U.S. Privacy Shield Framework;2017-04-26;2018-04-26;NON-HR
Red Flag Reporting;EU-U.S. Privacy Shield Framework;2016-08-18;2017-08-18;NON-HR
Red Hat, Inc.;EU-U.S. Privacy Shield Framework;2016-10-24;2017-10-24;NON-HR
Redacted, Inc.;EU-U.S. Privacy Shield Framework;2016-09-13;2017-09-13;NON-HR
RedBrick Health, Inc;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
RedCAT Systems, LLC;EU-U.S. Privacy Shield Framework;2016-11-07;2017-11-07;NON-HR
Reddit, Inc.;EU-U.S. Privacy Shield Framework;2016-11-23;2017-11-23;HR, NON-HR
Redsky Mobility Solutions LLC;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;NON-HR
RedSource Interactive, LLC;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-09-15;NON-HR
RedSource Interactive, LLC;EU-U.S. Privacy Shield Framework;2016-09-15;2017-09-15;NON-HR
Reflexis Systems, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-26;2017-10-06;NON-HR
Reflexis Systems, Inc.;EU-U.S. Privacy Shield Framework;2016-10-06;2017-10-06;NON-HR
Regulatory & Clinical Research Institute Inc;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;NON-HR
Regulatory DataCorp, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;NON-HR
Regulatory DataCorp, Inc.;EU-U.S. Privacy Shield Framework;2016-11-16;2018-04-28;NON-HR
Relayware;EU-U.S. Privacy Shield Framework;2017-03-22;2018-03-22;NON-HR
Relocation Management Resources, Inc.;EU-U.S. Privacy Shield Framework;2017-03-20;2018-03-20;HR, NON-HR
Reltio;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;NON-HR
RELX Group;EU-U.S. Privacy Shield Framework;2016-09-21;2017-09-21;NON-HR
Renaissance Learning, Inc.;EU-U.S. Privacy Shield Framework;2017-01-13;2018-01-13;HR, NON-HR
Reppify;EU-U.S. Privacy Shield Framework;2017-05-19;2018-05-19;HR, NON-HR
Reppify;Swiss-U.S. Privacy Shield Framework;2017-05-03;2018-05-19;HR, NON-HR
RES Software;EU-U.S. Privacy Shield Framework;2016-11-04;2017-11-04;HR, NON-HR
Research Associates, Inc.;EU-U.S. Privacy Shield Framework;2016-10-07;2017-10-07;NON-HR
Research Now;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;HR, NON-HR
ResearchMetrics;EU-U.S. Privacy Shield Framework;2016-10-21;2017-10-21;NON-HR
Resilinc;EU-U.S. Privacy Shield Framework;2017-01-18;2018-01-18;NON-HR
Retail Solutions Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-26;2017-11-09;NON-HR
Retail Solutions Inc.;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;NON-HR
RetailNext;EU-U.S. Privacy Shield Framework;2017-04-07;2018-04-07;NON-HR
Return Path, Inc.;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
Reval.com;EU-U.S. Privacy Shield Framework;2016-12-09;2017-12-09;HR, NON-HR
Revegy, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-25;2017-10-12;NON-HR
Revegy, Inc.;EU-U.S. Privacy Shield Framework;2016-10-12;2017-10-12;NON-HR
RevPAR Collective, Inc.;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
Revulytics, Inc;Swiss-U.S. Privacy Shield Framework;2017-05-25;2017-12-07;HR, NON-HR
Revulytics, Inc;EU-U.S. Privacy Shield Framework;2016-12-07;2017-12-07;HR, NON-HR
RGIS, LLC;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;NON-HR
RichRelevance, Inc.;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;NON-HR
Rightside Group Ltd;Swiss-U.S. Privacy Shield Framework;2017-05-26;2017-10-13;NON-HR
Rightside Group Ltd;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Rim Tec Inc.;EU-U.S. Privacy Shield Framework;2017-02-16;2018-02-16;NON-HR
Rimeto LLC;EU-U.S. Privacy Shield Framework;2017-04-24;2018-04-24;HR, NON-HR
Rimini Street, Inc.;EU-U.S. Privacy Shield Framework;2016-10-12;2017-10-12;HR, NON-HR
Ringgold Inc.;EU-U.S. Privacy Shield Framework;2017-04-03;2018-04-03;NON-HR
Ripple Science Corporation;EU-U.S. Privacy Shield Framework;2017-04-03;2018-04-03;NON-HR
Rivermark, LLC;EU-U.S. Privacy Shield Framework;2016-10-14;2017-10-14;NON-HR
RiverStar;EU-U.S. Privacy Shield Framework;2016-11-10;2017-11-10;NON-HR
RMI Laboratories.com;EU-U.S. Privacy Shield Framework;2016-12-28;2017-12-28;NON-HR
ROAR, LLC;EU-U.S. Privacy Shield Framework;2016-10-19;2017-10-19;NON-HR
Robin Powered, Inc.;EU-U.S. Privacy Shield Framework;2016-12-28;2017-12-28;NON-HR
Rockbridge Associates, Inc.;EU-U.S. Privacy Shield Framework;2016-08-31;2017-08-31;NON-HR
Rocket Fuel Inc.;EU-U.S. Privacy Shield Framework;2016-09-26;2017-09-26;NON-HR
RocketBlocks;EU-U.S. Privacy Shield Framework;2016-10-06;2017-10-06;NON-HR
RockYou, Inc.;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;NON-HR
Rollbar;Swiss-U.S. Privacy Shield Framework;2017-05-07;2017-10-18;NON-HR
Rollbar;EU-U.S. Privacy Shield Framework;2016-10-18;2017-10-18;NON-HR
Roost Inc.;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;NON-HR
Rosetta Stone Ltd.;EU-U.S. Privacy Shield Framework;2016-11-19;2017-11-19;HR, NON-HR
RPX Corporation;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;HR
rsvpBOOK.com LLC;EU-U.S. Privacy Shield Framework;2016-09-06;2017-09-06;NON-HR
Rustici Software;EU-U.S. Privacy Shield Framework;2017-01-13;2018-01-13;NON-HR
RustyBrick, Inc.;EU-U.S. Privacy Shield Framework;2016-08-24;2017-08-24;NON-HR
RVM Enterprises, Inc;EU-U.S. Privacy Shield Framework;2017-04-10;2018-04-10;NON-HR
RW3 LLC;EU-U.S. Privacy Shield Framework;2016-11-23;2017-11-23;NON-HR
Ryousha Kokusai, LLC. d/b/a pair International;EU-U.S. Privacy Shield Framework;2017-03-29;2018-03-29;NON-HR
Saba Software, Inc.;EU-U.S. Privacy Shield Framework;2016-11-10;2017-11-10;NON-HR
Safe Banking Systems Software LLC;EU-U.S. Privacy Shield Framework;2016-08-24;2017-08-24;NON-HR
Safe Passage International Inc.;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;NON-HR
SAI;EU-U.S. Privacy Shield Framework;2016-11-22;2017-11-22;NON-HR
Sailthru, Inc.;EU-U.S. Privacy Shield Framework;2017-01-18;2018-01-18;HR, NON-HR
Salesforce;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Salesforce;Swiss-U.S. Privacy Shield Framework;2017-04-28;2017-08-12;NON-HR
Salesfusion, Inc.;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;NON-HR
SalesHood Inc;EU-U.S. Privacy Shield Framework;2017-04-06;2018-04-06;NON-HR
SalesLoft, Inc.;EU-U.S. Privacy Shield Framework;2016-10-31;2017-10-31;NON-HR
Samanage;EU-U.S. Privacy Shield Framework;2016-08-23;2017-08-23;NON-HR
Sandstorm.io;EU-U.S. Privacy Shield Framework;2017-04-11;2018-04-11;NON-HR
SANS Institute;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;NON-HR
SAS Institute Inc.;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
SATISFYD;EU-U.S. Privacy Shield Framework;2016-12-20;2017-12-20;NON-HR
Satmetrix systems inc;EU-U.S. Privacy Shield Framework;2016-11-19;2017-11-19;NON-HR
SatuitTechnologies, Inc.;EU-U.S. Privacy Shield Framework;2016-08-12;2018-04-25;NON-HR
SatuitTechnologies, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;NON-HR
Saturn Corporation;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;NON-HR
SAVO Group;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
saybubble, Inc.;EU-U.S. Privacy Shield Framework;2017-03-31;2018-03-31;NON-HR
ScheduleOnce LLC;EU-U.S. Privacy Shield Framework;2016-10-21;2017-10-21;NON-HR
Scherzer International;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
Schlesinger Associates;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Science Exchange, Inc.;EU-U.S. Privacy Shield Framework;2017-05-18;2018-05-18;NON-HR
SciQuest;EU-U.S. Privacy Shield Framework;2016-10-17;2018-04-26;NON-HR
SCL Elections Ltd;EU-U.S. Privacy Shield Framework;2017-05-24;2018-05-24;NON-HR
Scopely;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;NON-HR
Scout Exchange LLC;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
ScoutRFP, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-24;2017-11-28;NON-HR
ScoutRFP, Inc.;EU-U.S. Privacy Shield Framework;2016-11-28;2017-11-28;NON-HR
Screen6, Inc.;EU-U.S. Privacy Shield Framework;2016-10-06;2017-10-06;NON-HR
Scribe Software Corporation;Swiss-U.S. Privacy Shield Framework;2017-05-24;2017-11-18;NON-HR
Scribe Software Corporation;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
SDL Inc;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;HR, NON-HR
Seabury Group;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;HR, NON-HR
SeatAdvisor Inc;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;NON-HR
Second Street;EU-U.S. Privacy Shield Framework;2016-08-19;2017-08-19;NON-HR
Secure Data Inc.;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;NON-HR
Secure-24, LLC;Swiss-U.S. Privacy Shield Framework;2017-04-12;2017-10-25;HR, NON-HR
Secure-24, LLC;EU-U.S. Privacy Shield Framework;2016-10-25;2017-10-25;HR, NON-HR
SecureConsent LLC;EU-U.S. Privacy Shield Framework;2017-03-21;2018-03-21;NON-HR
SecureSheet Technologies, LLC;Swiss-U.S. Privacy Shield Framework;2017-05-01;2017-10-03;NON-HR
SecureSheet Technologies, LLC;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;NON-HR
SecureVideo;EU-U.S. Privacy Shield Framework;2017-04-21;2018-04-21;NON-HR
Securimate, LLC;EU-U.S. Privacy Shield Framework;2016-08-23;2017-08-23;NON-HR
Seertech Solutions;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;NON-HR
Seesaw Learning;EU-U.S. Privacy Shield Framework;2016-08-31;2017-08-31;NON-HR
Select Management Resources, LLC;EU-U.S. Privacy Shield Framework;2016-09-28;2017-09-28;HR, NON-HR
Seminole Tribe of Florida Gaming;EU-U.S. Privacy Shield Framework;2016-10-21;2017-10-21;NON-HR
Send Word Now;EU-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;HR, NON-HR
Sendbloom;EU-U.S. Privacy Shield Framework;2017-02-10;2018-02-10;NON-HR
SendThisFile, Inc.;EU-U.S. Privacy Shield Framework;2016-10-06;2017-10-06;NON-HR
Sentinel Screening Inc. dba Sentinel Background Checks;EU-U.S. Privacy Shield Framework;2017-04-26;2018-04-26;HR, NON-HR
SEQR Payments, Inc.;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Sequencing.com;EU-U.S. Privacy Shield Framework;2016-09-13;2017-09-13;NON-HR
SERCEL;EU-U.S. Privacy Shield Framework;2017-02-17;2018-02-17;HR, NON-HR
Serenova, LLC;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;NON-HR
Serraview America Inc.;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;HR, NON-HR
Sertifi;EU-U.S. Privacy Shield Framework;2017-03-29;2018-03-29;NON-HR
ServiceNow, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-19;2017-10-07;HR, NON-HR
ServiceNow, Inc.;EU-U.S. Privacy Shield Framework;2016-10-07;2017-10-07;HR, NON-HR
ServiceRocket;Swiss-U.S. Privacy Shield Framework;2017-04-21;2017-11-14;NON-HR
ServiceRocket;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;NON-HR
ServiceSource International, Inc.;EU-U.S. Privacy Shield Framework;2016-10-31;2017-10-31;HR, NON-HR
SESAC, Inc.;EU-U.S. Privacy Shield Framework;2017-03-03;2018-03-03;NON-HR
Sevanta Systems Corporation;EU-U.S. Privacy Shield Framework;2017-02-23;2018-02-23;NON-HR
Seven Bridges;EU-U.S. Privacy Shield Framework;2016-09-02;2017-09-02;HR, NON-HR
Shadowmatch USA;EU-U.S. Privacy Shield Framework;2017-04-03;2018-04-03;HR, NON-HR
Sharethrough;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
SHC Universal;EU-U.S. Privacy Shield Framework;2016-09-30;2017-09-30;HR, NON-HR
SheerID, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-20;2017-10-17;NON-HR
SheerID, Inc.;EU-U.S. Privacy Shield Framework;2016-10-17;2017-10-17;NON-HR
Shibumi;EU-U.S. Privacy Shield Framework;2017-01-04;2018-01-04;HR, NON-HR
Shiseido Americas Corporation;EU-U.S. Privacy Shield Framework;2016-12-06;2017-12-06;HR, NON-HR
Shopify;EU-U.S. Privacy Shield Framework;2016-10-06;2017-10-06;NON-HR
Shopmetrics, Inc.;EU-U.S. Privacy Shield Framework;2016-12-13;2017-12-13;NON-HR
Shubert Ticketing;Swiss-U.S. Privacy Shield Framework;2017-04-25;2018-03-27;NON-HR
Shubert Ticketing;EU-U.S. Privacy Shield Framework;2017-03-27;2018-03-27;NON-HR
Shutterstock, Inc.;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;NON-HR
SHYFT Analytics, Inc.;EU-U.S. Privacy Shield Framework;2016-10-24;2017-10-24;NON-HR
Sierra-Cedar, Inc.;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Signiant Inc.;EU-U.S. Privacy Shield Framework;2016-09-08;2017-09-08;NON-HR
Signifyd;EU-U.S. Privacy Shield Framework;2017-04-17;2018-05-03;NON-HR
Silicon Laboratories Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;HR, NON-HR
SilkRoad Technology;EU-U.S. Privacy Shield Framework;2017-03-22;2018-03-22;HR, NON-HR
SimpleReach, Inc.;EU-U.S. Privacy Shield Framework;2016-09-27;2017-09-27;NON-HR
Simpli.fi;EU-U.S. Privacy Shield Framework;2016-10-11;2017-10-11;HR, NON-HR
SingleHop LLC;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;NON-HR
Sirota Consulting LLC;EU-U.S. Privacy Shield Framework;2016-08-24;2017-08-24;HR, NON-HR
SirsiDynix Corporation;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;HR, NON-HR
SiteLock, LLC;EU-U.S. Privacy Shield Framework;2017-02-16;2018-02-16;NON-HR
Sizmek;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-11-15;NON-HR
Sizmek;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
SJV & Associates;EU-U.S. Privacy Shield Framework;2016-10-05;2017-10-05;NON-HR
Skuid, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-04;2018-05-30;NON-HR
Skuid, Inc.;EU-U.S. Privacy Shield Framework;2017-03-15;2018-05-30;NON-HR
Skydeo, Inc;EU-U.S. Privacy Shield Framework;2017-03-30;2018-03-30;NON-HR
Skyhigh Networks;EU-U.S. Privacy Shield Framework;2017-01-04;2018-01-04;NON-HR
Skyhook;EU-U.S. Privacy Shield Framework;2017-02-10;2018-02-10;NON-HR
SkyKick;EU-U.S. Privacy Shield Framework;2017-03-22;2018-03-22;NON-HR
Skytap, Inc.;EU-U.S. Privacy Shield Framework;2016-10-05;2017-10-05;NON-HR
Slack Technologies, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-26;2017-09-28;NON-HR
Slack Technologies, Inc.;EU-U.S. Privacy Shield Framework;2016-09-28;2017-09-28;HR, NON-HR
Smaato, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-08;2017-10-11;NON-HR
Smaato, Inc.;EU-U.S. Privacy Shield Framework;2016-10-11;2017-10-11;HR, NON-HR
SmarterTools Inc;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;NON-HR
SmartFocus;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;HR, NON-HR
SmartLead by AdTrack;EU-U.S. Privacy Shield Framework;2017-05-03;2018-05-03;NON-HR
Smartsheet Inc.;EU-U.S. Privacy Shield Framework;2017-05-03;2018-05-03;NON-HR
Smartsheet Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-03;2018-05-03;NON-HR
SmartStart Employment Screening, Inc.;EU-U.S. Privacy Shield Framework;2016-09-15;2017-09-15;HR, NON-HR
SmashFly Technologies;EU-U.S. Privacy Shield Framework;2016-12-07;2017-12-07;HR, NON-HR
SMC Corporation of America;EU-U.S. Privacy Shield Framework;2016-12-02;2017-12-02;NON-HR
Snap Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-11-30;NON-HR
Snap Inc.;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;NON-HR
SnapApp;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;NON-HR
SnapEngage, LLC;Swiss-U.S. Privacy Shield Framework;2017-05-24;2017-09-13;NON-HR
SnapEngage, LLC;EU-U.S. Privacy Shield Framework;2016-09-13;2017-09-13;NON-HR
SnapLogic Inc;EU-U.S. Privacy Shield Framework;2016-11-19;2017-11-19;NON-HR
Snaptrends;EU-U.S. Privacy Shield Framework;2016-09-30;2017-09-30;NON-HR
Snow Companies;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;NON-HR
